=====================================================================================
DANH SÁCH ẢNH BỊ DỰ ĐOÁN NHẦM THÀNH CLASS 01 (FALSE POSITIVES)
Tổng số trường hợp bị nhầm: 761 ảnh
=====================================================================================

[True: 00 | Pred: 01 | Conf:  51.46%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000182.jpg
[True: 00 | Pred: 01 | Conf:  39.90%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000185.jpg
[True: 00 | Pred: 01 | Conf:  56.14%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000192.jpg
[True: 00 | Pred: 01 | Conf:  23.91%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000202.jpg
[True: 00 | Pred: 01 | Conf:  60.08%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000209.jpg
[True: 00 | Pred: 01 | Conf:  39.99%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000218.jpg
[True: 00 | Pred: 01 | Conf:  33.22%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_255_00000_000229.jpg
[True: 00 | Pred: 01 | Conf:  87.13%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d120_00000_000309.jpg
[True: 00 | Pred: 01 | Conf:  59.86%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d120_00000_000329.jpg
[True: 00 | Pred: 01 | Conf:  74.74%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d120_00000_000345.jpg
[True: 00 | Pred: 01 | Conf:  58.34%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d120_00000_000356.jpg
[True: 00 | Pred: 01 | Conf:  94.80%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d255_00000_000366.jpg
[True: 00 | Pred: 01 | Conf:  61.68%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d255_00000_000371.jpg
[True: 00 | Pred: 01 | Conf:  87.39%] Path: /home/biu-linux/DeepLearning_Projects/DoAnNganh/dataset_reOrgan/00000/AdditiveGaussianNoise_d255_00000_000374.jpg
